French,English
partie,part
chercher,search
police,police
pensais,thought
demande,request
mois,month
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
ville,city
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
parle,speak
pourrais,could
donner,give
type,type
leurs,their
donné,given
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
perdu,lost
main,hand
première,first
côté,side
tiens,here
tellement,so much
enfant,child
point,point
venu,came
suite,after
minutes,minutes
demandé,request
mis,placed
belle,beautiful
droit,law
mari,husband
enfin,finally
eau,water
attendez,Wait
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
donne,given
plutôt,rather
aura,will have
jouer,to play
bureau,office
